id,restaurant_id,restaurant_name,sentence,id_sentence
23,1,Anar Indian Restaurant,they vegetarian dinner for two is my go to they malawi soft is my absolute favourite,135
23,1,Anar Indian Restaurant,everything is so fresh and delicious service is friendly and everything i be ever had makes me so happy,136
24,1,Anar Indian Restaurant,delicious food,137
24,1,Anar Indian Restaurant,a sectarian and vegetarian friendly place with well organized menu no surprise meat,138
24,1,Anar Indian Restaurant,good lamb dishes too,139
24,1,Anar Indian Restaurant,my favourite indian delivery place in hollywood,140
24,1,Anar Indian Restaurant,they food always arrives well packed and they right temperature,141
24,1,Anar Indian Restaurant,they have their own drivers so delivery is quick,142
25,1,Anar Indian Restaurant,i am voodoo pissed very disappointed,143
25,1,Anar Indian Restaurant,i used to think their indian food was they bomb until today,144
25,1,Anar Indian Restaurant,i used to live across street from this place a few yrs back would make an occasional visit even after i moved,145
25,1,Anar Indian Restaurant,but today a visit gave a totally different vibe from they moment i walked in,146
25,1,Anar Indian Restaurant,no customers i they decor was basic no longer gives that cultural vibe,147
25,1,Anar Indian Restaurant,then there was menu discrepancies,148
26,1,Anar Indian Restaurant,there is ample parking in front it is just a little walk away from walk of fame,149
26,1,Anar Indian Restaurant,they food is rather basic but good if you want a quick meal such as their chicken plate,150
26,1,Anar Indian Restaurant,they ambience is basic as well,151
27,1,Anar Indian Restaurant,just ordered tandoori chicken and received burnt tandoori,152
27,1,Anar Indian Restaurant,waste of money and time,153
28,1,Anar Indian Restaurant,great tasting food,154
28,1,Anar Indian Restaurant,shrimp curry is lovely if you enjoy sweet food,155
28,1,Anar Indian Restaurant,and chicken marsala was delicious,156
28,1,Anar Indian Restaurant,speedy home delivery i was surprised,157
28,1,Anar Indian Restaurant,for they price take away food portions are very small,158
28,1,Anar Indian Restaurant,increase food portions for take away to get higher rating,159
29,1,Anar Indian Restaurant,just fantastic flavors they samosas were they best i be ever eaten,160
29,1,Anar Indian Restaurant,coconut shrimp slightly overdone they one and only bit of meh,161
29,1,Anar Indian Restaurant,service was lovely i received a free dessert for no apparent good reason highly recommended,162
30,1,Anar Indian Restaurant,i was there last month visiting california from new jersey finally have time to review i have to say,163
30,1,Anar Indian Restaurant,this place food is absolutely amazing,164
30,1,Anar Indian Restaurant,i have never tasted such amazing indian food ever,165
30,1,Anar Indian Restaurant,they spice level is absolutely perfect,166
30,1,Anar Indian Restaurant,they food is well cooked,167
30,1,Anar Indian Restaurant,we even ordered food to go for our folks that we went to go visit,168
30,1,Anar Indian Restaurant,they chicken bryan was my favourite,169
30,1,Anar Indian Restaurant,they appetizer sample is great as well,170
30,1,Anar Indian Restaurant,they service is very nice,171
30,1,Anar Indian Restaurant,i highly recommend this spot,172
30,1,Anar Indian Restaurant,bob,173
30,1,Anar Indian Restaurant,next door there is a liquor store bring your own liquor,174
31,1,Anar Indian Restaurant,they curry beef was medium spicy they cuts were well cooked they curry was made so you can eat it with something sweet and less salt than what many are used to if your salty bring a shaker they rice was seven and they flat bread was eight,175
31,1,Anar Indian Restaurant,presentation they curry portion was a little big they plate was polished steel my fax,176
31,1,Anar Indian Restaurant,they bread might be better cut into semi circular pieces,177
31,1,Anar Indian Restaurant,they place needs a little remodel but i like they unkept furniture,178
32,1,Anar Indian Restaurant,seriously so good,179
32,1,Anar Indian Restaurant,they naan are amazing and veggie marsala is delicious,180
32,1,Anar Indian Restaurant,i ordered my food late and it came steaming hot,181
32,1,Anar Indian Restaurant,ten minutes later my food was still piping hot rare for delivery,182
32,1,Anar Indian Restaurant,only thing is main dish does not come with rice,183
32,1,Anar Indian Restaurant,great food great service all around great restaurant,184
32,1,Anar Indian Restaurant,ill definitely return,185
33,1,Anar Indian Restaurant,okay i love this place,186
33,1,Anar Indian Restaurant,not only is it super close to where i am but more importantly they food is always delicious and filling,187
33,1,Anar Indian Restaurant,they staff is incredibly gracious and attentive,188
33,1,Anar Indian Restaurant,i usually order to go and sometimes while i be waited for my food they have brought out complimentary small dishes soup rice pudding and always with a glass of water,189
33,1,Anar Indian Restaurant,i will continue going here again and again,190
34,1,Anar Indian Restaurant,this place is awesome,191
34,1,Anar Indian Restaurant,you get a lot of food for what you pay and they korma is one of they best indian dishes i be ever had,192
34,1,Anar Indian Restaurant,one word of warning last i checked they dinner combo with they soup costs more than all of its components individually,193
34,1,Anar Indian Restaurant,so it is best to buy individual dishes rice naan etc when you order here,194
35,1,Anar Indian Restaurant,we ordered chicken bryan and it is not like bryan at all and very bad taste,195
35,1,Anar Indian Restaurant,samosa and panzer nikki was horrible and we had stomach upset,196
35,1,Anar Indian Restaurant,our evening got spoiled during our trip in la,197
35,1,Anar Indian Restaurant,i did not expect that they food would give stomach upset my kids ate they food too,198
36,1,Anar Indian Restaurant,i love they authenticity of this place it is not fussy they heat is not on when they temperature drops but it has everything that i expect from northern indian cuisine,199
36,1,Anar Indian Restaurant,super friendly service and really good food,200
36,1,Anar Indian Restaurant,they malawi soft is on point along with onion mulch and samosas,201
36,1,Anar Indian Restaurant,i was even gifted to try their ginger mint lemonade and a soup because i expressed interest after he rang me up,202
36,1,Anar Indian Restaurant,if you want ambience this is not your place,203
36,1,Anar Indian Restaurant,but if you crave good indian food after work one day where you can be in and out maybe with a friend and be taken care of really well this is your spot,204
36,1,Anar Indian Restaurant,great for take away,205
37,1,Anar Indian Restaurant,my absolute favourite indian food in they la area,206
37,1,Anar Indian Restaurant,i was thankful that when i moved from los felix to soho that i was still in their delivery area,207
37,1,Anar Indian Restaurant,we always get they veg dinner for two and it is always mountain of well prepared and tasty food for a pretty reasonable price,208
38,1,Anar Indian Restaurant,prices are outrageous a sage paper rice and garlic naan twenty one yeah right it is just a plain rip off they sage used to come with rice but now it is an extra four dollars for a small portion of rice this place will never see another dime from me,209
38,1,Anar Indian Restaurant,i a surprised it is not out of business yet they sage used to be eight ninety nine there,210
38,1,Anar Indian Restaurant,nobody is going to pay twenty one dollars for a small cup of sage and rice,211
39,1,Anar Indian Restaurant,this is clearly a family operated place devoted to good food and service they are open late hours for they hollywood neighbourhood who loved them and this adds to they friendly copy vibe,212
39,1,Anar Indian Restaurant,customers love their blended tea and lemonade drinks so they bottle them now,213
39,1,Anar Indian Restaurant,all they indian classics are on they menu at an affordable price,214
40,1,Anar Indian Restaurant,they chicken bryan was good,215
40,1,Anar Indian Restaurant,they service was not that good but it got pretty busy and they only had one guy,216
